group_size,sampling,reported_iq,empirical_probability,exact_probability
15,with_replacement,55,0.0,0.0
15,with_replacement,56,0.0,0.0
15,with_replacement,57,0.0,0.0
15,with_replacement,58,0.0,0.0
15,with_replacement,59,0.0,0.0
15,with_replacement,60,0.0,0.0
15,with_replacement,61,0.0,0.0
15,with_replacement,62,0.0,0.0
15,with_replacement,63,0.0,0.0
15,with_replacement,64,0.0,0.0
15,with_replacement,65,0.0,0.0
15,with_replacement,66,0.0,0.0
15,with_replacement,67,0.0,0.0
15,with_replacement,68,0.0,0.0
15,with_replacement,69,0.0,0.0
15,with_replacement,70,0.0,0.0
15,with_replacement,71,0.0,0.0
15,with_replacement,72,2.3e-05,3.051757812500002e-05
15,with_replacement,73,0.0,0.0
15,with_replacement,74,0.0,0.0
15,with_replacement,75,0.0,0.0
15,with_replacement,76,0.0,0.0
15,with_replacement,77,0.000436,0.0004577636718750004
15,with_replacement,78,0.0,0.0
15,with_replacement,79,0.0,0.0
15,with_replacement,80,0.0,0.0
15,with_replacement,81,0.0,0.0
15,with_replacement,82,0.0,0.0
15,with_replacement,83,0.003097,0.003204345703125
15,with_replacement,84,0.0,0.0
15,with_replacement,85,0.0,0.0
15,with_replacement,86,0.0,0.0
15,with_replacement,87,0.013814,0.013885498046874991
15,with_replacement,88,0.0,0.0
15,with_replacement,89,0.0,0.0
15,with_replacement,90,0.0,0.0
15,with_replacement,91,0.041618,0.04165649414062497
15,with_replacement,92,0.0,0.0
15,with_replacement,93,0.0,0.0
15,with_replacement,94,0.091752,0.09164428710937504
15,with_replacement,95,0.0,0.0
15,with_replacement,96,0.153069,0.15274047851562494
15,with_replacement,97,0.0,0.0
15,with_replacement,98,0.0,0.0
15,with_replacement,99,0.19645,0.1963806152343752
15,with_replacement,100,0.0,0.0
15,with_replacement,101,0.196585,0.1963806152343752
15,with_replacement,102,0.0,0.0
15,with_replacement,103,0.0,0.0
15,with_replacement,104,0.152487,0.15274047851562494
15,with_replacement,105,0.0,0.0
15,with_replacement,106,0.091599,0.09164428710937503
15,with_replacement,107,0.0,0.0
15,with_replacement,108,0.0,0.0
15,with_replacement,109,0.041499,0.041656494140624965
15,with_replacement,110,0.0,0.0
15,with_replacement,111,0.0,0.0
15,with_replacement,112,0.0,0.0
15,with_replacement,113,0.013944,0.013885498046874988
