group_size,sampling,simulated_draws,empirical_mean,empirical_sd,exact_mean,exact_sd,exact_p025,exact_p975,exact_prob_more_than_5_points,exact_prob_more_than_10_points,maximum_empirical_cdf_error
15,with_replacement,1000000,99.999025,5.0623040257747265,100.00000000000003,5.069987470321672,91,109,0.3017578125,0.03515624999999998,0.0004633847656246859
15,without_replacement,1000000,99.997442,4.6374140915639614,99.99999999999997,4.638427013498649,91,109,0.26233945735337133,0.02260438688192351,0.00043650354207613873
20,with_replacement,1000000,99.996115,4.512242226075081,99.99999999999997,4.517949228839894,92,108,0.26317596435546853,0.011817932128906257,0.0006743358154298607
20,without_replacement,1000000,99.995705,4.035890552650679,99.99999999999997,4.039932967899494,92,108,0.21070668276471444,0.005039773421343038,0.000507341382357529
25,with_replacement,1000000,100.003563,3.8793030694998554,100.00000000000003,3.8793629649218224,93,107,0.10775214433670055,0.01463329792022705,0.00033111107635502846
25,without_replacement,1000000,100.00340999999999,3.3324421033080234,99.99999999999999,3.3318374645171818,93,107,0.06342196594237821,0.004951448014685406,0.0005790462304422483
30,with_replacement,1000000,100.001011,3.567769328008609,100.00000000000004,3.567447313769341,94,106,0.09873714670538908,0.005222879350185396,0.0005846441356541776
30,without_replacement,1000000,99.995351,3.0127627498359377,99.99999999999999,3.012895837810844,95,105,0.04858163161294096,0.0008866426767691668,0.0009234236222924741
35,with_replacement,1000000,99.99953099999999,3.391102885498905,99.99999999999997,3.3926063352686677,94,106,0.0895310789346695,0.0018782254774123417,0.0005569166012560078
35,without_replacement,1000000,100.004131,2.8172316083061046,100.0,2.8173233083249727,95,105,0.03529978060060681,0.00012428085756116747,0.0009409999999999696
40,with_replacement,1000000,99.997512,3.162825605349748,99.99999999999997,3.163057033840848,94,106,0.08069046775199246,0.000679548254993278,0.0007657460783067893
40,without_replacement,1000000,99.997656,2.4599151419640477,99.99999999999997,2.4618379131783965,95,105,0.024180347618784376,1.2649204290071068e-05,0.0004977024017984721
45,with_replacement,1000000,99.999296,2.877105403766779,100.00000000000003,2.8799129681079765,94,106,0.07245426016254432,0.00024708778460080745,0.0005991649012597744
45,without_replacement,1000000,99.99569600000001,2.1021991997867375,99.99999999999997,2.1040170441987116,96,104,0.015424530346269994,8.356307654519181e-07,0.0008188862307636491
50,with_replacement,1000000,100.00093600000001,2.777319413373982,99.99999999999993,2.7810345028624455,95,105,0.03283913756426843,0.0003058640016035951,0.0006484136703911458
50,without_replacement,1000000,99.99975,2.0172981776376044,99.99999999999997,2.019120156041048,96,104,0.0025235377955630553,3.2203500770407066e-07,0.0006771468959155813
55,with_replacement,1000000,99.995653,2.596209179475144,100.00000000000001,2.5939759566059046,95,105,0.030028945411892514,0.00011361060320691502,0.0013049051649782761
55,without_replacement,1000000,100.000227,1.7171449992563237,99.99999999999999,1.718044952219144,97,103,0.001182376927848162,6.6155883996815675e-09,0.00032488623076365464
60,with_replacement,1000000,99.99931,2.5085700157460225,100.00000000000003,2.5062715543305236,95,105,0.02734013386807794,4.223704562267964e-05,0.0008329984051737016
60,without_replacement,1000000,99.999139,1.6472911881871402,99.99999999999997,1.6481996972232758,97,103,0.00044899506899652366,3.245859352837854e-11,0.0007813219601485732
75,with_replacement,1000000,99.999045,2.1830804126222656,100.00000000000003,2.182151770310143,96,104,0.01058211705170527,7.244156513774442e-06,0.0003574854515716597
75,without_replacement,1000000,100.00125899999999,1.1166814294681362,99.99999999999999,1.116338712581162,98,102,5.11616550339011e-08,0.0,0.0006291347127302949
100,with_replacement,1000000,100.002862,1.9561850139892187,99.99999999999997,1.9549813334113957,96,104,0.003517641722970138,1.8100026213029232e-07,0.0013557931963539271
100,without_replacement,1000000,100.0,0.0,100.0,0.0,100,100,0.0,0.0,0.0
