component,baseline_iq,group_size,sampling,reported_iq,empirical_probability,exact_probability
working_memory,100,15,with_replacement,40,0.0,0.0
working_memory,100,15,with_replacement,41,0.0,0.0
working_memory,100,15,with_replacement,42,0.0,0.0
working_memory,100,15,with_replacement,43,0.0,0.0
working_memory,100,15,with_replacement,44,0.0,0.0
working_memory,100,15,with_replacement,45,0.0,0.0
working_memory,100,15,with_replacement,46,0.0,0.0
working_memory,100,15,with_replacement,47,0.0,0.0
working_memory,100,15,with_replacement,48,0.0,0.0
working_memory,100,15,with_replacement,49,0.0,0.0
working_memory,100,15,with_replacement,50,0.0,0.0
working_memory,100,15,with_replacement,51,0.0,0.0
working_memory,100,15,with_replacement,52,0.0,0.0
working_memory,100,15,with_replacement,53,0.0,0.0
working_memory,100,15,with_replacement,54,0.0,0.0
working_memory,100,15,with_replacement,55,0.0,0.0
working_memory,100,15,with_replacement,56,0.0,0.0
working_memory,100,15,with_replacement,57,0.0,0.0
working_memory,100,15,with_replacement,58,0.0,0.0
working_memory,100,15,with_replacement,59,0.0,0.0
working_memory,100,15,with_replacement,60,0.0,0.0
working_memory,100,15,with_replacement,61,0.0,0.0
working_memory,100,15,with_replacement,62,0.0,0.0
working_memory,100,15,with_replacement,63,0.0,0.0
working_memory,100,15,with_replacement,64,0.0,0.0
working_memory,100,15,with_replacement,65,0.0,0.0
working_memory,100,15,with_replacement,66,0.0,0.0
working_memory,100,15,with_replacement,67,0.0,0.0
working_memory,100,15,with_replacement,68,0.0,0.0
working_memory,100,15,with_replacement,69,0.0,0.0
working_memory,100,15,with_replacement,70,8e-06,3.869085989074413e-06
working_memory,100,15,with_replacement,71,0.0,0.0
working_memory,100,15,with_replacement,72,0.0,0.0
working_memory,100,15,with_replacement,73,0.0,0.0
working_memory,100,15,with_replacement,74,0.0,0.0
working_memory,100,15,with_replacement,75,1.9e-05,2.0406098166553578e-05
working_memory,100,15,with_replacement,76,0.0,0.0
working_memory,100,15,with_replacement,77,0.0,0.0
working_memory,100,15,with_replacement,78,0.0,0.0
working_memory,100,15,with_replacement,79,6.8e-05,6.360785239599381e-05
working_memory,100,15,with_replacement,80,0.0,0.0
working_memory,100,15,with_replacement,81,0.000224,0.00023668631839039798
working_memory,100,15,with_replacement,82,0.0,0.0
working_memory,100,15,with_replacement,83,0.000613,0.0005865364882688393
working_memory,100,15,with_replacement,84,0.0,0.0
working_memory,100,15,with_replacement,85,0.00164,0.0015890411424393683
working_memory,100,15,with_replacement,86,0.0,0.0
working_memory,100,15,with_replacement,87,0.003307,0.003258536754522994
working_memory,100,15,with_replacement,88,0.0,0.0
working_memory,100,15,with_replacement,89,0.006985,0.00702434035346091
working_memory,100,15,with_replacement,90,0.012146,0.012206019450636218
working_memory,100,15,with_replacement,91,0.022002,0.02185962515361284
working_memory,100,15,with_replacement,92,0.0,0.0
working_memory,100,15,with_replacement,93,0.032733,0.03265075533781336
working_memory,100,15,with_replacement,94,0.050045,0.04974041619303074
working_memory,100,15,with_replacement,95,0.064395,0.06437002318598192
working_memory,100,15,with_replacement,96,0.0,0.0
working_memory,100,15,with_replacement,97,0.084353,0.0845247490352776
working_memory,100,15,with_replacement,98,0.095082,0.095055476879056
working_memory,100,15,with_replacement,99,0.108581,0.10829733470144949
working_memory,100,15,with_replacement,100,0.105718,0.10566993064026903
working_memory,100,15,with_replacement,101,0.0,0.0
working_memory,100,15,with_replacement,102,0.104759,0.1046191169567834
working_memory,100,15,with_replacement,103,0.087784,0.08798907380498412
working_memory,100,15,with_replacement,104,0.075303,0.07547656075899684
working_memory,100,15,with_replacement,105,0.0,0.0
working_memory,100,15,with_replacement,106,0.054038,0.053997956922459685
working_memory,100,15,with_replacement,107,0.039449,0.03981463101899975
working_memory,100,15,with_replacement,108,0.0,0.0
working_memory,100,15,with_replacement,109,0.023451,0.02366429938884599
working_memory,100,15,with_replacement,110,0.0,0.0
working_memory,100,15,with_replacement,111,0.014849,0.014785637263326854
working_memory,100,15,with_replacement,112,0.007029,0.006992521632836668
working_memory,100,15,with_replacement,113,0.0,0.0
working_memory,100,15,with_replacement,114,0.0,0.0
working_memory,100,15,with_replacement,115,0.003525,0.003615312283441226
working_memory,100,15,with_replacement,116,0.0,0.0
working_memory,100,15,with_replacement,117,0.001243,0.00124485071605421
working_memory,100,15,with_replacement,118,0.0,0.0
working_memory,100,15,with_replacement,119,0.0,0.0
working_memory,100,15,with_replacement,120,0.000507,0.0005116822959269034
working_memory,100,15,with_replacement,121,0.0,0.0
working_memory,100,15,with_replacement,122,0.0,0.0
working_memory,100,15,with_replacement,123,0.0,0.0
working_memory,100,15,with_replacement,124,0.0,0.0
working_memory,100,15,with_replacement,125,0.000144,0.00013100228658536564
working_memory,100,15,with_replacement,126,0.0,0.0
working_memory,100,15,with_replacement,127,0.0,0.0
working_memory,100,15,with_replacement,128,0.0,0.0
working_memory,100,15,with_replacement,129,0.0,0.0
working_memory,100,15,with_replacement,130,0.0,0.0
working_memory,100,15,with_replacement,131,0.0,0.0
working_memory,100,15,with_replacement,132,0.0,0.0
working_memory,100,15,with_replacement,133,0.0,0.0
working_memory,100,15,with_replacement,134,0.0,0.0
working_memory,100,15,with_replacement,135,0.0,0.0
working_memory,100,15,with_replacement,136,0.0,0.0
working_memory,100,15,with_replacement,137,0.0,0.0
working_memory,100,15,with_replacement,138,0.0,0.0
working_memory,100,15,with_replacement,139,0.0,0.0
working_memory,100,15,with_replacement,140,0.0,0.0
working_memory,100,15,with_replacement,141,0.0,0.0
working_memory,100,15,with_replacement,142,0.0,0.0
working_memory,100,15,with_replacement,143,0.0,0.0
working_memory,100,15,with_replacement,144,0.0,0.0
working_memory,100,15,with_replacement,145,0.0,0.0
working_memory,100,15,with_replacement,146,0.0,0.0
working_memory,100,15,with_replacement,147,0.0,0.0
working_memory,100,15,with_replacement,148,0.0,0.0
working_memory,100,15,with_replacement,149,0.0,0.0
working_memory,100,15,with_replacement,150,0.0,0.0
working_memory,100,15,with_replacement,151,0.0,0.0
working_memory,100,15,with_replacement,152,0.0,0.0
