pcode,prolific_id,username,session,finished,block_global,period,block_in_period,task_label,difficulty,set_id,score,sent,emoji_label,msg_words,msg_len,msg,cat_states_a_number,cat_says_they_did_well,cat_says_they_did_badly,cat_mentions_the_task_being_hard,cat_blames_own_ability,cat_brags_about_own_ability,cat_names_an_emotion,cat_compares_to_own_expectation,cat_compares_across_blocks,cat_addresses_the_audience,cat_says_it_was_enjoyable,cat_sarcasm_or_gallows_humour,vocab_numerical,vocab_spatial,vocab_working_memory,vocab_abstract,n_categories,uncoded,task_specific,names_other_task,time_ref,time_comparative,time_specific,nonsense,sentiment_pos,sentiment_neg,sentiment
0eugu0o3,69b5fbeb75748ae2b41bc489,joo,4nes3mql,True,1,1,1,Spatial reasoning,easy,easy_1,5,0,Positive,2,9,Very good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0eugu0o3,69b5fbeb75748ae2b41bc489,joo,4nes3mql,True,2,1,2,Spatial reasoning,medium,medium_2,2,0,Neutral,2,7,I'm bad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
0eugu0o3,69b5fbeb75748ae2b41bc489,joo,4nes3mql,True,3,1,3,Spatial reasoning,hard,hard_1,1,1,Negative,2,7,I'm bad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
0eugu0o3,69b5fbeb75748ae2b41bc489,joo,4nes3mql,True,4,2,1,Working memory,easy,easy_2,5,1,Positive,2,8,I'm good,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1
0eugu0o3,69b5fbeb75748ae2b41bc489,joo,4nes3mql,True,5,2,2,Working memory,medium,medium_1,1,1,Negative,2,7,I'm bad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
0eugu0o3,69b5fbeb75748ae2b41bc489,joo,4nes3mql,True,6,2,3,Working memory,hard,hard_1,1,1,Negative,2,7,I'm bad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
0q9gg4qy,69c45e1ec41a12dde0aac876,k,4nes3mql,True,1,1,1,Spatial reasoning,easy,easy_1,5,0,Neutral,2,9,It's Ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0q9gg4qy,69c45e1ec41a12dde0aac876,k,4nes3mql,True,2,1,2,Spatial reasoning,medium,medium_1,4,0,Neutral,3,12,It' too hard,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
0q9gg4qy,69c45e1ec41a12dde0aac876,k,4nes3mql,True,3,1,3,Spatial reasoning,hard,hard_2,2,0,Negative,3,12,That too bad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
0q9gg4qy,69c45e1ec41a12dde0aac876,k,4nes3mql,True,4,2,1,Working memory,easy,easy_2,5,0,Positive,2,7,It's OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
