pcode,prolific_id,username,session,finished,period,block_in_period,block_global,task,task_label,difficulty,set_id,score,report_number
07zh0fht,6675c16ff0167744f9233116,Liz,4nes3mql,True,1,1,1,working_memory,Working memory,easy,easy_1,5,5
07zh0fht,6675c16ff0167744f9233116,Liz,4nes3mql,True,1,2,2,working_memory,Working memory,medium,medium_1,1,1
07zh0fht,6675c16ff0167744f9233116,Liz,4nes3mql,True,1,3,3,working_memory,Working memory,hard,hard_2,1,1
07zh0fht,6675c16ff0167744f9233116,Liz,4nes3mql,True,2,1,4,ravens,Abstract reasoning,easy,easy_1,2,2
07zh0fht,6675c16ff0167744f9233116,Liz,4nes3mql,True,2,2,5,ravens,Abstract reasoning,medium,medium_1,2,2
07zh0fht,6675c16ff0167744f9233116,Liz,4nes3mql,True,2,3,6,ravens,Abstract reasoning,hard,hard_1,2,2
14l2s2v0,5dd1df8fb48da3240ca85c45,DM,4nes3mql,True,1,1,1,ravens,Abstract reasoning,easy,easy_2,3,3
14l2s2v0,5dd1df8fb48da3240ca85c45,DM,4nes3mql,True,1,3,3,ravens,Abstract reasoning,hard,hard_1,2,2
14l2s2v0,5dd1df8fb48da3240ca85c45,DM,4nes3mql,True,2,3,6,sequences,Numerical reasoning,hard,hard_1,3,3
1cis38v3,67ddf7048bb4a1eb57c71031,Greg,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_1,5,5
1cis38v3,67ddf7048bb4a1eb57c71031,Greg,4nes3mql,True,3,1,7,shape_rotation,Spatial reasoning,easy,easy_2,1,1
1cis38v3,67ddf7048bb4a1eb57c71031,Greg,4nes3mql,True,3,2,8,shape_rotation,Spatial reasoning,medium,medium_1,2,2
1cis38v3,67ddf7048bb4a1eb57c71031,Greg,4nes3mql,True,3,3,9,shape_rotation,Spatial reasoning,hard,hard_1,0,0
2dkowd6r,69ff53f3401c96094c4b05ab,jerry,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_1,4,4
2dkowd6r,69ff53f3401c96094c4b05ab,jerry,4nes3mql,True,1,2,2,sequences,Numerical reasoning,medium,medium_1,4,4
2dkowd6r,69ff53f3401c96094c4b05ab,jerry,4nes3mql,True,3,3,9,shape_rotation,Spatial reasoning,hard,hard_2,1,1
3dny9x4s,669424e6b661e0a098ec66a4,JagzFan,4nes3mql,True,1,3,3,shape_rotation,Spatial reasoning,hard,hard_2,2,2
66dyb2q3,6a06878b6606a5ad0dbaa1a9,cathy,4nes3mql,False,1,1,1,shape_rotation,Spatial reasoning,easy,easy_1,1,1
66dyb2q3,6a06878b6606a5ad0dbaa1a9,cathy,4nes3mql,False,1,2,2,shape_rotation,Spatial reasoning,medium,medium_1,1,1
66dyb2q3,6a06878b6606a5ad0dbaa1a9,cathy,4nes3mql,False,2,1,4,working_memory,Working memory,easy,easy_2,3,3
6df67tfx,63f7870b7fabda95fb6586d0,LeBron,4nes3mql,True,1,1,1,shape_rotation,Spatial reasoning,easy,easy_1,5,5
6df67tfx,63f7870b7fabda95fb6586d0,LeBron,4nes3mql,True,1,2,2,shape_rotation,Spatial reasoning,medium,medium_2,0,0
6df67tfx,63f7870b7fabda95fb6586d0,LeBron,4nes3mql,True,1,3,3,shape_rotation,Spatial reasoning,hard,hard_1,4,4
6df67tfx,63f7870b7fabda95fb6586d0,LeBron,4nes3mql,True,2,1,4,working_memory,Working memory,easy,easy_2,5,5
6df67tfx,63f7870b7fabda95fb6586d0,LeBron,4nes3mql,True,2,2,5,working_memory,Working memory,medium,medium_2,1,1
6df67tfx,63f7870b7fabda95fb6586d0,LeBron,4nes3mql,True,2,3,6,working_memory,Working memory,hard,hard_1,0,0
8xca4mjt,69c7fed0f1f61c7b9105d7c2,girloncomputer,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_2,5,5
8xca4mjt,69c7fed0f1f61c7b9105d7c2,girloncomputer,4nes3mql,True,1,3,3,sequences,Numerical reasoning,hard,hard_2,2,2
8xca4mjt,69c7fed0f1f61c7b9105d7c2,girloncomputer,4nes3mql,True,3,3,9,shape_rotation,Spatial reasoning,hard,hard_2,3,3
