file,difficulty,dot_count,pattern_rows,occupied_cells
easy_01.png,easy,3,XXX....... / .......... / ..........,R1C1 R1C2 R1C3
easy_02.png,easy,4,XX........ / XX........ / ..........,R1C1 R1C2 R2C1 R2C2
easy_03.png,easy,5,.......... / ..XXXXX... / ..........,R2C3 R2C4 R2C5 R2C6 R2C7
easy_04.png,easy,6,X....X.... / X....X.... / X....X....,R1C1 R1C6 R2C1 R2C6 R3C1 R3C6
easy_05.png,easy,8,XX......XX / .......... / XX......XX,R1C1 R1C2 R1C9 R1C10 R3C1 R3C2 R3C9 R3C10
easy_06.png,easy,7,..X..X.... / ..XX.X.... / ..X..X....,R1C3 R1C6 R2C3 R2C4 R2C6 R3C3 R3C6
easy_07.png,easy,8,X...X...X. / .X...X...X / ..X...X...,R1C1 R1C5 R1C9 R2C2 R2C6 R2C10 R3C3 R3C7
easy_08.png,easy,8,XXXX...... / XXXX...... / ..........,R1C1 R1C2 R1C3 R1C4 R2C1 R2C2 R2C3 R2C4
easy_09.png,easy,10,XX......XX / XX......XX / X........X,R1C1 R1C2 R1C9 R1C10 R2C1 R2C2 R2C9 R2C10 R3C1 R3C10
easy_10.png,easy,9,X...X...X. / X...X...X. / X...X...X.,R1C1 R1C5 R1C9 R2C1 R2C5 R2C9 R3C1 R3C5 R3C9
medium_01.png,medium,10,X.X..XX... / .XX...X..X / ....X..X..,R1C1 R1C3 R1C6 R1C7 R2C2 R2C3 R2C7 R2C10 R3C5 R3C8
medium_02.png,medium,10,.XX.X...X. / X....XX..X / ..X.X.....,R1C2 R1C3 R1C5 R1C9 R2C1 R2C6 R2C7 R2C10 R3C3 R3C5
medium_03.png,medium,11,XX..X.X... / ..X.XX...X / X.....X..X,R1C1 R1C2 R1C5 R1C7 R2C3 R2C5 R2C6 R2C10 R3C1 R3C7 R3C10
medium_04.png,medium,12,X..XX...X. / .X.X..XX.. / XX....X..X,R1C1 R1C4 R1C5 R1C9 R2C2 R2C4 R2C7 R2C8 R3C1 R3C2 R3C7 R3C10
medium_05.png,medium,12,XX.X..X..X / ...XX.X... / X..X...XX.,R1C1 R1C2 R1C4 R1C7 R1C10 R2C4 R2C5 R2C7 R3C1 R3C4 R3C8 R3C9
medium_06.png,medium,12,X.XX...X.X / .X...XX..X / XX..X.....,R1C1 R1C3 R1C4 R1C8 R1C10 R2C2 R2C6 R2C7 R2C10 R3C1 R3C2 R3C5
medium_07.png,medium,14,XX.X..XX.. / .XX...X.XX / X..XX...X.,R1C1 R1C2 R1C4 R1C7 R1C8 R2C2 R2C3 R2C7 R2C9 R2C10 R3C1 R3C4 R3C5 R3C9
medium_08.png,medium,14,X.XX.X..XX / .X..XX.X.. / XX...X..X.,R1C1 R1C3 R1C4 R1C6 R1C9 R1C10 R2C2 R2C5 R2C6 R2C8 R3C1 R3C2 R3C6 R3C9
medium_09.png,medium,15,XX..XX.X.X / .X.X..XX.X / X.XX...X..,R1C1 R1C2 R1C5 R1C6 R1C8 R1C10 R2C2 R2C4 R2C7 R2C8 R2C10 R3C1 R3C3 R3C4 R3C8
